path	added	removed	stage	status	evidence
codex-rs/tui/src/app/history_ui.rs	72	0	P5	pending	
codex-rs/tui/src/app/loaded_threads.rs	26	33	P5	pending	
codex-rs/tui/src/app/resize_reflow.rs	40	0	P5	pending	
codex-rs/tui/src/app/session_lifecycle.rs	56	53	P5	pending	
codex-rs/tui/src/app/side.rs	5	0	P5	pending	
codex-rs/tui/src/app/snapshots/codex_tui__app__thread_goal_actions__tests__thread_goal_ephemeral_error_message_renders_snapshot.snap	2	2	P5	pending	
codex-rs/tui/src/app/test_support.rs	6	0	P5	pending	
codex-rs/tui/src/app/tests.rs	526	28	P5	pending	
codex-rs/tui/src/app/tests/safety_buffering.rs	10	2	P5	pending	
codex-rs/tui/src/app/tests/session_summary.rs	2	2	P5	pending	
codex-rs/tui/src/app/tests/spine_rollback.rs	413	0	P5	pending	
codex-rs/tui/src/app/tests/spine_spawn_config.rs	209	0	P5	pending	
codex-rs/tui/src/app/tests/spine_spawn_live.rs	658	0	P5	pending	
codex-rs/tui/src/app/thread_events.rs	90	5	P5	pending	
codex-rs/tui/src/app/thread_goal_actions.rs	11	7	P5	pending	
codex-rs/tui/src/app/thread_routing.rs	161	1	P5	pending	
codex-rs/tui/src/app/thread_session_state.rs	3	0	P5	pending	
codex-rs/tui/src/app_event.rs	96	0	P5	pending	
codex-rs/tui/src/app_event_sender.rs	72	1	P5	pending	
codex-rs/tui/src/app_server_session.rs	8	0	P5	pending	
codex-rs/tui/src/bottom_pane/chat_composer.rs	14	0	P5	pending	
codex-rs/tui/src/bottom_pane/chat_composer/slash_input.rs	1	0	P5	pending	
codex-rs/tui/src/bottom_pane/command_popup.rs	5	0	P5	pending	
codex-rs/tui/src/bottom_pane/experimental_features_view.rs	143	19	P5	pending	
codex-rs/tui/src/bottom_pane/experimental_features_view_tests.rs	99	0	P5	pending	
codex-rs/tui/src/bottom_pane/mod.rs	68	10	P5	pending	
codex-rs/tui/src/bottom_pane/slash_commands.rs	35	0	P5	pending	
codex-rs/tui/src/bottom_pane/snapshots/codex_tui__bottom_pane__spine_feedback_view__tests__spine_feedback_consent_width_24.snap	37	0	P5	pending	
codex-rs/tui/src/bottom_pane/snapshots/codex_tui__bottom_pane__spine_feedback_view__tests__spine_feedback_editing_width_40.snap	22	0	P5	pending	
codex-rs/tui/src/bottom_pane/snapshots/codex_tui__bottom_pane__spine_spawn_failure_gate__tests__renders_native_white_summary_and_explained_actions.snap	13	0	P5	pending	
codex-rs/tui/src/bottom_pane/spine_feedback_view.rs	996	0	P5	pending	
codex-rs/tui/src/bottom_pane/spine_spawn_failure_gate.rs	174	0	P5	pending	
codex-rs/tui/src/bottom_pane/spine_spawn_failure_gate_tests.rs	147	0	P5	pending	
codex-rs/tui/src/bottom_pane/status_line_setup.rs	16	0	P5	pending	
codex-rs/tui/src/bottom_pane/status_line_style.rs	1	1	P5	pending	
codex-rs/tui/src/bottom_pane/status_surface_preview.rs	3	0	P5	pending	
codex-rs/tui/src/chatwidget.rs	66	2	P5	pending	
codex-rs/tui/src/chatwidget/constructor.rs	5	0	P5	pending	
codex-rs/tui/src/chatwidget/model_popups.rs	3	4	P5	pending	
codex-rs/tui/src/chatwidget/protocol.rs	3	0	P5	pending	
codex-rs/tui/src/chatwidget/rendering.rs	17	0	P5	pending	
codex-rs/tui/src/chatwidget/session_flow.rs	2	0	P5	pending	
codex-rs/tui/src/chatwidget/settings.rs	18	0	P5	pending	
